날짜,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
20180328,15940.08,15681.6,15587.28,15469.92,15490.8,16042.32,17097.84,17712,19046.16,20954.16,19352.88,19574.64,21365.28,19532.88,19455.12,19455.84,19635.12,21100.32,19519.2,18843.84,17856,16791.84,15637.68,14750.64
20180329,15801.84,15498,15310.8,15219.36,15288.48,15223.68,16146,16552.8,18459.36,20388.96,20093.04,20033.28,20785.68,19965.6,19789.2,19677.6,19705.68,20468.16,19375.2,18564.48,17479.44,16474.32,15410.88,14562
20180330,14870.16,14582.16,14464.8,14304.96,14323.68,14891.76,15966.72,16318.08,17442.72,19134.72,18847.44,18717.84,19552.32,18011.52,17938.8,17763.84,18214.56,19537.2,18303.84,17436.96,16328.88,15413.04,14574.24,13880.88
20180331,13457.52,13215.6,13129.92,13078.08,12976.56,13306.32,13825.44,13440.24,13955.76,14516.64,14794.56,14904.72,14880.24,14981.76,15029.28,14913.36,15381.36,15233.04,15222.96,15154.56,14663.52,14495.76,13909.68,13441.68
20180401,13149.36,12949.92,12881.52,12795.84,12669.84,12851.28,13225.68,13147.92,13212,13302,13310.64,13397.76,12550.32,14344.56,14512.32,14685.12,15017.76,15073.92,15047.28,15245.28,14896.08,14762.88,14296.32,13808.88
20180402,14292.72,14184,14194.08,14192.64,14139.36,14739.12,15709.68,16086.96,17249.76,19664.64,19537.92,19300.32,20311.92,19365.84,19464.48,19571.04,19646.64,20310.48,19256.4,18611.28,17637.84,16624.08,15384.24,14438.88
20180403,15616.08,15453.36,15189.12,15076.8,15078.24,15698.88,16509.6,16815.6,17115.12,18921.6,18191.52,18479.52,20486.88,19126.08,19094.4,19113.12,18995.04,20490.48,19460.16,18731.52,17742.96,16811.28,15704.64,14704.56
20180404,15761.52,15495.12,15366.96,15220.08,15256.08,15784.56,16668,16855.92,17449.2,19811.52,18301.68,18226.8,19995.12,18315.36,18248.4,18306,18243.36,19969.2,18851.76,18259.2,17164.08,16184.88,15103.44,14171.04
20180405,15322.32,15082.56,15081.84,14938.56,14880.96,15495.12,16424.64,16655.76,17871.12,20383.2,19743.84,20184.48,22237.2,20670.48,20478.96,20238.48,20059.92,21489.84,19704.24,18616.32,17426.88,16457.04,15366.96,14450.4
20180406,15502.32,15221.52,15041.52,14963.76,15088.32,15680.88,16791.12,16989.84,17949.6,20172.96,18980.64,19779.84,21010.32,21021.12,20245.68,19913.04,19762.56,20217.6,19468.08,18696.24,18084.96,16600.32,15306.48,14432.4
20180407,13903.92,13584.96,13641.84,13513.68,13477.68,13714.56,14142.24,14134.32,14930.64,15922.08,16351.92,16180.56,15944.4,15981.84,16275.6,16379.28,16325.28,15906.24,15816.24,16241.04,16027.92,15474.96,14912.64,14312.88
